timestamp_s,window_duration_s,device_major,device_minor,read_count,write_count,avg_read_speed_mbps,avg_write_speed_mbps,read_lba_variance,write_lba_variance,min_write_entropy,max_write_entropy,avg_write_entropy,write_entropy_count,total_event_count,label
162752.268,10.0,8,16,0,1,0.00,0.00,0.00e+00,0.00e+00,0.000,0.000,0.000,1,1,1
162753.269,10.0,8,16,0,3488,0.00,1.36,0.00e+00,6.49e+07,0.000,3.649,1.963,3488,3488,1
162754.269,10.0,8,16,0,6978,0.00,2.73,0.00e+00,2.60e+08,0.000,3.649,2.097,6978,6978,0
162755.269,10.0,8,16,0,10471,0.00,4.09,0.00e+00,5.85e+08,0.000,3.649,2.154,10471,10471,1
162756.269,10.0,8,16,0,14040,0.00,5.48,0.00e+00,1.05e+09,0.000,3.649,2.192,14040,14040,0
162757.269,10.0,8,16,0,17601,0.00,6.88,0.00e+00,1.65e+09,0.000,3.649,2.217,17601,17601,0
162758.269,10.0,8,16,0,21105,0.00,8.24,0.00e+00,2.38e+09,0.000,3.649,2.238,21105,21105,1
162759.269,10.0,8,16,0,24525,0.00,9.58,0.00e+00,3.22e+09,0.000,3.665,2.257,24525,24525,1
162760.269,10.0,8,16,0,27833,0.00,10.87,0.00e+00,4.17e+09,0.000,3.665,2.270,27833,27833,0
162761.270,10.0,8,16,0,30967,0.00,12.10,0.00e+00,5.22e+09,0.000,3.665,2.281,30967,30967,0
162762.270,10.0,8,16,0,33913,0.00,13.25,0.00e+00,6.35e+09,0.000,3.665,2.289,33913,33913,1
162763.270,10.0,8,16,0,33326,0.00,13.02,0.00e+00,6.29e+09,1.714,3.665,2.329,33326,33326,0
162764.270,10.0,8,16,0,32738,0.00,12.79,0.00e+00,6.26e+09,1.714,3.665,2.342,32738,32738,0
162765.270,10.0,8,16,0,32120,0.00,12.55,0.00e+00,6.24e+09,1.714,3.665,2.351,32120,32120,1
162766.270,10.0,8,16,0,31337,0.00,12.24,0.00e+00,6.16e+09,1.714,3.665,2.358,31337,31337,1
162767.270,10.0,8,16,0,30573,0.00,11.94,0.00e+00,6.06e+09,1.714,3.665,2.362,30573,30573,0
162768.271,10.0,8,16,0,29778,0.00,11.63,0.00e+00,5.90e+09,1.714,3.665,2.364,29778,29778,1
